COUNTRY,TOTAL_VACCINATIONS,PERSONS_VACCINATED_1PLUS_DOSE,PERSONS_FULLY_VACCINATED,NUMBER_VACCINES_TYPES_USED,PERSONS,DEATHS,CASES
Tuvalu,25591,9603,9322,1,5528,0,23
Uganda,25783131,18867075,12765601,5,431349,3630,169274
Ukraine,31668577,15774300,15153577,6,741197,109819,5279346
United Arab Emirates,24922054,9991089,9792266,11,5138699,2347,1033770
United Republic of Tanzania,28091873,23687636,21723603,3,,845,39679
United States of America,620131694,262004715,223464463,4,109132203,1054617,95726462
Uruguay,8741748,3001660,2893822,3,2063955,7510,988527
Uzbekistan,69218586,21037140,17201955,8,14334007,1637,244450
Vanuatu,292146,144290,131300,3,16556,14,11976
Venezuela (Bolivarian Republic of),37860994,22157232,14287370,6,651502,5820,545469
Viet Nam,260246761,90043685,84389728,6,55853931,43159,11495231
Wallis and Futuna,16782,6592,6989,1,3201,7,761
Yemen,1065395,861625,604202,11,33507,2158,11939
Zambia,9315275,8233510,6043203,3,668550,4017,333644
Zimbabwe,12582801,6533054,4887515,4,1162232,5606,257893
